cluster,avg_consumo,std_consumo,n_meters,n_samples
0,1.952713351353155,1.6469479396065154,393,29967
1,2.088585583796664,2.074371192132604,393,30216
2,1.946170499665841,1.5866148600115257,393,25437
3,1.9485399557747916,1.6031248117135957,393,29395
4,1.9807467301760828,1.7733100548197143,393,25613
